week_name,rider_length,member_casual
Wednesday,242152,casual
Thursday,586669,casual
Sunday,1280807,casual
Sunday,190254,casual
Wednesday,2200317,casual
Saturday,114676,casual
Saturday,518702,member
Monday,4170291,casual
Wednesday,115431,casual
Saturday,5386959,casual
Sunday,2505738,casual
Saturday,160680,casual
Friday,187504,casual
Saturday,455299,casual
Tuesday,911700,casual
Thursday,323032,casual
Saturday,172477,casual
Thursday,312561,casual
Friday,777405,casual
Sunday,242662,casual
Sunday,176708,member
Thursday,700776,casual
Saturday,2241583,casual
Sunday,200317,member
Monday,1044947,casual
Tuesday,428594,casual
Wednesday,904637,casual
Wednesday,134288,casual
Saturday,215493,casual
Monday,159462,casual
Monday,306491,member
Monday,172467,casual
Monday,3390506,casual
Friday,159367,member
Saturday,1120901,casual
Sunday,125638,member
Tuesday,214044,casual
Tuesday,1952536,casual
Sunday,2094081,casual
Wednesday,286449,casual
Thursday,515519,casual
Tuesday,341699,casual
Monday,351202,casual
Tuesday,176495,casual
Saturday,171557,casual
Friday,460498,casual
Tuesday,2171014,casual
Sunday,175616,member
Friday,156921,member
Tuesday,647009,casual
Saturday,811872,casual
Wednesday,197061,casual
Friday,2324187,casual
Wednesday,224614,member
Saturday,163343,casual
Wednesday,947276,casual
Tuesday,149728,casual
Friday,330173,casual
Thursday,181130,member
Monday,222608,casual
Monday,212609,casual
Tuesday,166820,casual
Monday,172454,casual
Sunday,157486,casual
Saturday,2241642,casual
Wednesday,291205,casual
Monday,1273864,casual
Tuesday,751616,casual
Friday,209172,member
Tuesday,171732,casual
Sunday,608557,casual
Thursday,401003,member
Thursday,323730,casual
Wednesday,3435010,casual
Tuesday,489382,casual
Saturday,531183,casual
Wednesday,305605,casual
Tuesday,140542,casual
Thursday,221719,casual
Thursday,129955,casual
Sunday,149069,member
Sunday,2417075,casual
Friday,403370,casual
Tuesday,7039405,casual
Friday,439214,casual
Sunday,2577374,member
Wednesday,176790,member
Sunday,570499,casual
Tuesday,8636205,casual
Sunday,2363255,casual
Friday,1664154,member
Monday,326970,casual
Thursday,333033,casual
Sunday,315300,member
Monday,254049,casual
Wednesday,155185,member
Friday,847568,casual
Thursday,172609,casual
Thursday,330325,casual
Friday,835799,casual
Friday,185730,casual
Sunday,273496,casual
Thursday,3184339,casual
Monday,346393,member
Thursday,424343,casual
Thursday,134867,casual
Sunday,757948,casual
Sunday,611210,casual
Monday,769022,casual
Sunday,184772,member
Monday,420540,casual
Tuesday,171675,casual
Monday,150405,casual
Saturday,5399506,casual
Sunday,152199,member
Friday,4753051,member
Tuesday,158095,casual
Sunday,168799,member
Tuesday,147795,casual
Saturday,239604,casual
Saturday,1384483,casual
Sunday,601034,casual
Friday,179833,casual
Saturday,253646,casual
Saturday,249781,casual
Monday,350245,casual
Friday,437515,casual
Wednesday,133845,casual
Monday,177475,casual
Monday,231879,casual
Sunday,155559,casual
Thursday,355719,casual
Saturday,249274,casual
Monday,173265,casual
Wednesday,236063,casual
Saturday,186073,member
Tuesday,273059,casual
Saturday,270658,casual
Sunday,176342,casual
Friday,148567,casual
Sunday,234209,casual
Tuesday,433665,casual
Monday,625452,member
Friday,2253331,member
Wednesday,400492,casual
Monday,156693,casual
Tuesday,252195,casual
Friday,395770,casual
Thursday,157709,casual
Tuesday,2591131,casual
Tuesday,264821,casual
Thursday,168552,member
Monday,420535,casual
Saturday,857052,casual
Saturday,1546032,casual
Sunday,479496,casual
Tuesday,160072,casual
Wednesday,3427056,casual
Wednesday,5627611,member
Sunday,323266,member
Saturday,3711293,casual
Thursday,151852,casual
Tuesday,1646142,casual
Saturday,4482201,casual
Tuesday,357387,casual
Sunday,451172,casual
Monday,564837,casual
Sunday,782294,casual
Wednesday,254112,casual
Tuesday,156606,casual
Tuesday,140534,casual
Saturday,330716,casual
Tuesday,152988,casual
Tuesday,158914,casual
Wednesday,988255,casual
Monday,195147,casual
Thursday,200359,member
Monday,9387024,casual
Saturday,2265055,casual
Monday,317387,casual
Monday,3821916,casual
Thursday,329900,casual
Friday,181005,member
Monday,673271,casual
Saturday,250303,casual
Thursday,199533,casual
Sunday,150722,casual
Friday,140244,casual
Sunday,183370,member
Friday,360767,casual
Tuesday,418352,casual
Sunday,144577,member
Thursday,1210860,casual
Sunday,174070,casual
Saturday,261751,casual
Tuesday,882759,casual
Tuesday,194455,casual
Thursday,354469,casual
Wednesday,347120,member
Wednesday,279943,casual
Friday,172302,casual
Tuesday,278419,casual
Tuesday,179746,casual
Friday,168913,casual
Sunday,259630,casual
Friday,459127,casual
Saturday,209229,casual
Saturday,521489,casual
Friday,137342,member
Friday,826160,casual
Sunday,179722,member
Friday,131207,member
Thursday,759365,casual
Friday,255460,casual
Wednesday,1006874,casual
Monday,578430,casual
Friday,196331,casual
Monday,218308,member
Sunday,140801,casual
Saturday,489082,casual
Monday,1971032,casual
Sunday,1408473,casual
Wednesday,149600,casual
Tuesday,153485,casual
Tuesday,3939702,casual
Sunday,515092,casual
Friday,2653452,casual
Sunday,1803517,casual
Tuesday,134237,casual
Tuesday,171845,casual
Tuesday,163583,casual
